	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
Number of genes	1922	1521	1436	1904	2162
Number of genes in orthogroups	1682	1331	1300	1720	1848
Number of unassigned genes	240	190	136	184	314
Percentage of genes in orthogroups	87.5	87.5	90.5	90.3	85.5
Percentage of unassigned genes	12.5	12.5	9.5	9.7	14.5
Number of orthogroups containing species	1384	1189	1127	1536	1539
Percentage of orthogroups containing species	68.5	58.9	55.8	76.0	76.2
Number of species-specific orthogroups	24	9	10	12	13
Number of genes in species-specific orthogroups	58	23	25	29	35
Percentage of genes in species-specific orthogroups	3.0	1.5	1.7	1.5	1.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	636	831	893	484	481
'1	1217	1095	1025	1398	1352
'2	106	71	75	111	138
'3	32	13	10	16	26
'4	17	5	6	4	11
'5	2	1	5	6	4
'6	2	0	2	1	2
'7	3	3	0	0	1
'8	2	0	2	0	0
'9	2	1	2	0	2
'10	0	0	0	0	0
11-15	1	0	0	0	2
16-20	0	0	0	0	1
21-50	0	0	0	0	0
51-100	0	0	0	0	0
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	31.5	41.1	44.2	24.0	23.8
'1	60.2	54.2	50.7	69.2	66.9
'2	5.2	3.5	3.7	5.5	6.8
'3	1.6	0.6	0.5	0.8	1.3
'4	0.8	0.2	0.3	0.2	0.5
'5	0.1	0.0	0.2	0.3	0.2
'6	0.1	0.0	0.1	0.0	0.1
'7	0.1	0.1	0.0	0.0	0.0
'8	0.1	0.0	0.1	0.0	0.0
'9	0.1	0.0	0.1	0.0	0.1
'10	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.1
16-20	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	1217	1095	1025	1398	1352
'2	212	142	150	222	276
'3	96	39	30	48	78
'4	68	20	24	16	44
'5	10	5	25	30	20
'6	12	0	12	6	12
'7	21	21	0	0	7
'8	16	0	16	0	0
'9	18	9	18	0	18
'10	0	0	0	0	0
11-15	12	0	0	0	25
16-20	0	0	0	0	16
21-50	0	0	0	0	0
51-100	0	0	0	0	0
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	63.3	72.0	71.4	73.4	62.5
'2	11.0	9.3	10.4	11.7	12.8
'3	5.0	2.6	2.1	2.5	3.6
'4	3.5	1.3	1.7	0.8	2.0
'5	0.5	0.3	1.7	1.6	0.9
'6	0.6	0.0	0.8	0.3	0.6
'7	1.1	1.4	0.0	0.0	0.3
'8	0.8	0.0	1.1	0.0	0.0
'9	0.9	0.6	1.3	0.0	0.8
'10	0.0	0.0	0.0	0.0	0.0
11-15	0.6	0.0	0.0	0.0	1.2
16-20	0.0	0.0	0.0	0.0	0.7
21-50	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
